frame_idx,tag_id,coord_frame,v0_x,v0_y,v0_z,v1_x,v1_y,v1_z,v2_x,v2_y,v2_z,v3_x,v3_y,v3_z,v4_x,v4_y,v4_z,v5_x,v5_y,v5_z,v6_x,v6_y,v6_z,v7_x,v7_y,v7_z
0,1,camera,-1.2378720045089722,0.42856889963150024,1.2975705862045288,-0.9938824772834778,0.4009556770324707,1.324321985244751,-0.9789987206459045,0.7037878036499023,1.5011614561080933,-1.222988247871399,0.7314010262489319,1.474410057067871,-1.2503324747085571,0.3875443935394287,1.3688725233078003,-1.0063430070877075,0.35993117094039917,1.3956239223480225,-0.9914592504501343,0.6627632975578308,1.5724633932113647,-1.2354487180709839,0.6903765201568604,1.5457119941711426
1,1,camera,-1.2437318563461304,0.4316765367984772,1.305617332458496,-0.9999364614486694,0.4026341438293457,1.3326237201690674,-0.983196496963501,0.7062265872955322,1.5079872608184814,-1.226991891860962,0.7352690100669861,1.4809808731079102,-1.2564876079559326,0.3910820484161377,1.377112865447998,-1.0126922130584717,0.36203962564468384,1.4041192531585693,-0.9959522485733032,0.6656320691108704,1.5794827938079834,-1.2397476434707642,0.6946744918823242,1.552476406097412
2,1,camera,-1.235513687133789,0.42754167318344116,1.2962168455123901,-0.9914031028747559,0.40001967549324036,1.3219377994537354,-0.9760463237762451,0.7023149132728577,1.4996532201766968,-1.2201569080352783,0.7298368811607361,1.4739322662353516,-1.2476692199707031,0.3862883448600769,1.3674393892288208,-1.00355863571167,0.3587663769721985,1.393160343170166,-0.9882018566131592,0.6610615849494934,1.5708757638931274,-1.2323124408721924,0.6885836124420166,1.5451548099517822
3,1,camera,-1.2373325824737549,0.4287005364894867,1.298775553703308,-0.9932700395584106,0.4002978801727295,1.323989987373352,-0.9764111638069153,0.7026798725128174,1.501421332359314,-1.2204736471176147,0.731082558631897,1.4762070178985596,-1.249485731124878,0.38755083084106445,1.3700584173202515,-1.0054231882095337,0.35914814472198486,1.3952727317810059,-0.9885642528533936,0.6615301370620728,1.5727041959762573,-1.2326267957687378,0.6899328231811523,1.5474897623062134
4,1,camera,-1.2367398738861084,0.4284030497074127,1.2987918853759766,-0.9926086664199829,0.4002505838871002,1.3236185312271118,-0.9757862687110901,0.7026211619377136,1.501072883605957,-1.2199175357818604,0.7307736277580261,1.4762462377548218,-1.2487382888793945,0.38722914457321167,1.370086908340454,-1.0046069622039795,0.35907667875289917,1.3949135541915894,-0.9877846240997314,0.6614472270011902,1.5723679065704346,-1.231915831565857,0.6895997524261475,1.5475412607192993
5,1,camera,-1.2351534366607666,0.42771926522254944,1.2970523834228516,-0.9909521341323853,0.4003002643585205,1.3220099210739136,-0.9752947092056274,0.7021599411964417,1.5004379749298096,-1.2194961309432983,0.729578971862793,1.4754804372787476,-1.2470782995224,0.3862794041633606,1.3682055473327637,-1.002876877784729,0.35886040329933167,1.3931630849838257,-0.987219512462616,0.6607201099395752,1.5715911388397217,-1.231420874595642,0.6881390810012817,1.5466336011886597
6,1,camera,-1.235718011856079,0.42755740880966187,1.2979639768600464,-0.9914142489433289,0.40044739842414856,1.3222477436065674,-0.9755842685699463,0.7025483250617981,1.5002518892288208,-1.2198879718780518,0.7296583652496338,1.4759680032730103,-1.247389316558838,0.38619333505630493,1.3692032098770142,-1.0030856132507324,0.3590833246707916,1.3934870958328247,-0.9872555136680603,0.6611842513084412,1.5714911222457886,-1.2315592765808105,0.6882942914962769,1.5472073554992676
7,1,camera,-1.2343034744262695,0.42705121636390686,1.2952637672424316,-0.9899163842201233,0.4001948833465576,1.3189847469329834,-0.9742297530174255,0.7014439105987549,1.4984393119812012,-1.2186168432235718,0.7283002138137817,1.4747183322906494,-1.245786190032959,0.38532090187072754,1.3663198947906494,-1.0013991594314575,0.3584645688533783,1.3900408744812012,-0.9857125282287598,0.659713625907898,1.569495439529419,-1.2300996780395508,0.6865699291229248,1.5457744598388672
8,1,camera,-1.2347114086151123,0.42701631784439087,1.2957075834274292,-0.990324079990387,0.400411456823349,1.3197083473205566,-0.9750381708145142,0.7020915746688843,1.4984720945358276,-1.2194254398345947,0.7286964058876038,1.4744712114334106,-1.246224045753479,0.38544297218322754,1.366850733757019,-1.0018367767333984,0.35883814096450806,1.390851616859436,-0.9865508675575256,0.660518229007721,1.5696152448654175,-1.2309380769729614,0.6871230602264404,1.54561448097229
9,1,camera,-1.240059494972229,0.4293363690376282,1.3020249605178833,-0.9957634806632996,0.4025369882583618,1.3267278671264648,-0.9805382490158081,0.7049559354782104,1.504244089126587,-1.2248343229293823,0.731755256652832,1.4795411825180054,-1.2517942190170288,0.38808000087738037,1.3733162879943848,-1.0074981451034546,0.3612806797027588,1.3980191946029663,-0.9922729730606079,0.6636995673179626,1.5755354166030884,-1.2365690469741821,0.690498948097229,1.5508325099945068
10,1,camera,-1.2388931512832642,0.42819976806640625,1.2992827892303467,-0.9944654107093811,0.4010648727416992,1.3222562074661255,-0.9775711894035339,0.7034537196159363,1.4996726512908936,-1.221998929977417,0.7305886149406433,1.4766992330551147,-1.2501798868179321,0.3869559168815613,1.3706536293029785,-1.0057520866394043,0.35982102155685425,1.3936270475387573,-0.9888578653335571,0.6622098684310913,1.5710434913635254,-1.233285665512085,0.6893447637557983,1.5480700731277466
