time_sec,frame_index,hand_index,hand_label,hand_score,quat_w,quat_x,quat_y,quat_z
0.0,1,0,left,0.9906708002090454,0.29413937686327096,0.7088593390052897,0.5960181047144739,-0.23614165946744092
0.0333333333333333,2,0,right,0.987472653388977,0.534545665876126,-0.10406393600771609,0.4546687050901904,0.70477513926588
0.0333333333333333,2,1,left,0.9912189245224,0.2783303888928655,0.7120974168277452,0.6121090425075166,-0.2019207360489008
0.0666666666666666,3,0,right,0.9962469339370728,0.5396971713494724,-0.06328367049899006,0.4478503785229806,0.7100367446424
0.0666666666666666,3,1,left,0.9870596528053284,0.25435357571992234,0.7244854715550202,0.6080948999285396,-0.201607670253612
0.1,4,0,right,0.9945940971374512,0.5462035333063953,-0.06630525179821757,0.4385002476888615,0.7106214509599268
0.1,4,1,left,0.9860754013061525,0.2655726013054805,0.7125612143104805,0.6169991195723263,-0.20258281206259315
0.1333333333333333,5,0,right,0.9942821860313416,0.5375057418434606,-0.07965931218051658,0.4661453881627286,0.6981765167655363
0.1333333333333333,5,1,left,0.9911205172538756,0.28761884969446955,0.7064262298340412,0.607902546101869,-0.22066235189936134
0.1666666666666666,6,0,right,0.9945202469825744,0.5393268092729182,-0.0986830969341696,0.45507361668998964,0.7016382562059079
0.1666666666666666,6,1,left,0.9867178201675416,0.30244266404444353,0.6948374431265022,0.6102773862947957,-0.23084816302565053
0.2,7,0,right,0.9954827427864076,0.544132461942269,-0.04083009680838752,0.5215585941023715,0.6559187449472842
0.2,7,1,left,0.990517258644104,0.27708114373873693,0.7143153425432872,0.6060781305179961,-0.21365610428796653
0.2333333333333333,8,0,right,0.9948076605796814,0.5349442005088568,-0.07839076917162903,0.467392405852447,0.69945259210477
0.2333333333333333,8,1,left,0.98651385307312,0.278216052679404,0.7093779927131115,0.609473158995466,-0.21890902208427918
0.2666666666666666,9,0,right,0.9940840601921082,0.5422853882700133,-0.09936492974545362,0.4414140271668748,0.7079596210419373
0.2666666666666666,9,1,left,0.9905998706817628,0.29380805680310584,0.7083999967530391,0.6031994937828362,-0.21908135716670926
0.3,10,0,right,0.9941871166229248,0.5438208800112175,-0.08107952651007967,0.4687273329035738,0.6913607222238103
0.3,10,1,left,0.9932910203933716,0.2806026873053788,0.7096935905983703,0.6058101270839206,-0.22492494139858452
0.3333333333333333,11,0,right,0.9960390329360962,0.5464668592126393,-0.05205736913950105,0.4801994333872186,0.6841582465154837
0.3333333333333333,11,1,left,0.9913825988769532,0.2932304622092253,0.699120172290258,0.6043106965349101,-0.2450621610589768
0.3666666666666666,12,0,right,0.9947669506072998,0.5370910310822464,-0.07208220322754759,0.42365668374045723,0.7258459854755072
0.3666666666666666,12,1,left,0.9913146495819092,0.2916743767979588,0.7029044003312213,0.6064085592842908,-0.23047802745875665
0.4,13,0,right,0.9945458173751832,0.5451420845518027,-0.06928681561974635,0.4124698291893785,0.7265590718174781
0.4,13,1,left,0.989534854888916,0.3138165881451236,0.7016371044820199,0.5926182534436282,-0.24089028271074914
0.4333333333333333,14,0,right,0.994842767715454,0.5458806381259481,-0.06604521941867743,0.4764282980008395,0.6860527929942197
0.4333333333333333,14,1,left,0.9856165647506714,0.3174589375430922,0.705269820425254,0.6083417796024497,-0.17814202918308053
0.4666666666666667,15,0,right,0.9957034587860109,0.5391919015450042,-0.056874686978169976,0.4773423112213068,0.6915068193498304
0.4666666666666667,15,1,left,0.9946847558021544,0.30155774127814045,0.696584083197137,0.6082065983287916,-0.2322030952871858
0.5,16,0,right,0.9956587553024292,0.5470319923422096,-0.03886482358790837,0.5151879629041922,0.6586553633883371
0.5,16,1,left,0.9853159785270692,0.30163893091397115,0.6995681903253848,0.6143806869096008,-0.2053160344308989
0.5333333333333333,17,0,right,0.9934971332550048,0.5422469209743512,-0.0554627619919577,0.455585741893697,0.7037995385827053
0.5333333333333333,17,1,left,0.9955111742019652,0.29664684155362375,0.7019155106420678,0.6013167289243636,-0.2402778783659612
0.5666666666666667,18,0,right,0.9959179162979126,0.5421416208818868,-0.06318856101261046,0.46931184415150945,0.694144121637449
0.5666666666666667,18,1,left,0.992082417011261,0.2966097362110892,0.7057986473312351,0.6073998109886759,-0.21198208278321054
0.6,19,0,right,0.9946948885917664,0.547296309164692,-0.08255376855625493,0.4633400131948627,0.6920748929447236
0.6,19,1,left,0.9944204092025756,0.3024548188599682,0.6986528047701066,0.6067357447353018,-0.22864180937821882
0.6333333333333333,20,0,right,0.995602011680603,0.5468825166231808,-0.04660734737512311,0.5113459870829938,0.6612658691303142
0.6333333333333333,20,1,left,0.9931908249855042,0.31682587188752265,0.7019019458152217,0.6009800981038329,-0.21395781604471534
0.6666666666666666,21,0,right,0.9959470629692078,0.5431544547866165,-0.02483464061214641,0.5009405508509467,0.6733684306412568
0.6666666666666666,21,1,left,0.9891594052314758,0.30480503386008345,0.7119500160344936,0.590982110720904,-0.2257458987665174
0.7,22,0,right,0.9955056309700012,0.5421998343555359,-0.038044102142805306,0.5045252524039167,0.6708399627360773
0.7,22,1,left,0.9923803806304932,0.3282034158326529,0.6936697954311662,0.5977826428103743,-0.23186341819465056
0.7333333333333333,23,0,right,0.9945052266120912,0.5396659056938748,-0.0818819182098815,0.4091546666682157,0.7311966359642948
0.7333333333333333,23,1,left,0.9925455451011658,0.34144575931815596,0.6940522985991241,0.591123405993413,-0.22864671250570576
0.7666666666666667,24,0,right,0.9936568737030028,0.5408520537607324,-0.08508011796518572,0.443855893061861,0.7093887338153078
