time_sec,frame_index,hand_index,hand_label,hand_score,rot_vec_x,rot_vec_y,rot_vec_z
0.0,1,0,left,0.7740523219108582,-2.3891568635603537,0.12229365573233744,-0.005999266060533657
0.0333333333333333,2,0,right,0.572441577911377,2.9969530621448794,-0.18024452729935211,0.0239707529723007
0.0666666666666666,3,0,right,0.9063162803649902,-3.122733422957334,0.1486547035679609,0.2064235485717862
0.1,4,0,left,0.6809417605400085,-2.642397815905858,0.06801896334836226,0.04546111311743645
0.1,4,1,right,0.8638920783996582,3.0876493451071254,-0.18854733145843436,-0.19011905975910684
0.1333333333333333,5,0,right,0.8128818273544312,-3.0881940414021054,0.20581573400223882,0.2504465593349528
0.1666666666666666,6,0,right,0.9315043687820436,-3.0129716256457617,0.08983504094627304,0.19106369411580532
0.1666666666666666,6,1,right,0.8819841742515564,-3.061300635530308,0.1833272171796208,0.30678335716763666
0.2,7,0,right,0.9520410299301147,-3.0507878214505166,0.17836617888900833,0.22741060921546796
0.2333333333333333,8,0,right,0.9580234289169312,-3.015458709118213,0.21895023584714954,0.24570524567340782
0.2666666666666666,9,0,right,0.9499815106391908,-3.003056602692469,0.26607811110598434,0.3568211086922086
0.3,10,0,right,0.9643139839172364,-3.060601009458446,0.2281680742922565,0.3355026472526107
0.3333333333333333,11,0,right,0.968807339668274,-3.077534109452119,0.2392584052327503,0.25908724103731645
0.3666666666666666,12,0,right,0.9478239417076112,-3.030613408177675,0.27689002921978695,0.24906785873264067
0.4,13,0,right,0.9595752954483032,-3.1172457250522068,0.2895720170777162,0.18945172514120723
0.4333333333333333,14,0,right,0.970305860042572,-3.0287597039853833,0.3255989901167205,0.23968935962701124
0.4666666666666667,15,0,right,0.9636080265045166,-3.089050296533459,0.3195545918547114,0.2980178669059792
0.5,16,0,right,0.9610689282417296,-3.0799965990087026,0.3485203782986753,0.24206016908148267
0.5333333333333333,17,0,right,0.9709650278091432,-3.0575913089685596,0.32545206360293805,0.25167233551666307
0.5666666666666667,18,0,right,0.9692739248275756,-3.0913891132252367,0.3183251402350857,0.25445682419747034
0.6,19,0,right,0.9504146575927734,-3.0509201420645344,0.30505502687138414,0.30570557945420446
0.6333333333333333,20,0,right,0.9309614896774292,-2.9967198224161655,0.280595056111409,0.4003202958781774
0.6666666666666666,21,0,right,0.9345810413360596,-3.0365681491001326,0.2961618502157192,0.3311300867558585
0.7,22,0,right,0.8852302432060242,-2.9743859009752573,0.2538996203403885,0.3495613905591259
0.7333333333333333,23,0,right,0.9027827978134156,-2.979506298469181,0.2854129533629357,0.35741720976914143
0.7666666666666667,24,0,right,0.9090472459793092,-2.993804137447742,0.28492151720530806,0.3243844581813752
0.8,25,0,right,0.8909503221511841,-2.9811720151770538,0.2949563197965694,0.33755821243484235
0.8333333333333334,26,0,right,0.8999766707420349,-3.004248133980769,0.2522401329109541,0.2848105514999534
0.8666666666666667,27,0,right,0.9248770475387572,-2.994829370284542,0.26839777339483367,0.34119923881018505
0.9,28,0,right,0.9049472808837892,-3.034157036042104,0.20874925321897841,0.48674488041873876
0.9,28,1,right,0.9373908042907716,-3.0090905288923904,0.25210479470548725,0.28699889949630997
0.9333333333333332,29,0,right,0.9170126914978028,-3.004078172112423,0.2504987853221539,0.3223557789547939
0.9666666666666668,30,0,right,0.8261217474937439,-2.9725543255459397,0.19639322567960904,0.4528338484631231
0.9666666666666668,30,1,right,0.9290097951889038,-2.9827953299210312,0.24784019177493824,0.3205896020024768
1.0,31,0,right,0.9354076385498048,-2.983208028903762,0.24396728019490088,0.34518524230166353
1.0333333333333334,32,0,right,0.944654941558838,-3.0005321226900854,0.22278636752708922,0.2885805514732998
1.0666666666666669,33,0,right,0.9373604655265808,-2.9794901917377197,0.23260149726021181,0.34819466352281475
1.1,34,0,right,0.9221129417419434,-2.9671110873519595,0.2398585016009867,0.3649689610883492
1.1333333333333333,35,0,right,0.9266520738601683,-3.0141426630845616,0.2215161575739569,0.3068403956323506
1.1666666666666667,36,0,right,0.9476760625839232,-3.0129172616033566,0.2187970598303625,0.2559042018053038
1.2,37,0,right,0.9278818964958192,-3.000920258647327,0.22947633453702052,0.33413861808917383
1.2333333333333334,38,0,right,0.9262033104896544,-2.971825381463782,0.23741542496684587,0.3056293306887486
1.2666666666666666,39,0,right,0.921894669532776,-2.944356734652321,0.2337936183593184,0.2599520867573704
1.3,40,0,right,0.9071491360664368,-2.981189590247878,0.2503307555812461,0.18349649488708455
1.3333333333333333,41,0,right,0.8884677886962891,-2.914143103858171,0.2555848042731829,0.27441646838568806
1.3666666666666667,42,0,right,0.9273453950881958,-2.9677520504285497,0.2430057305178317,0.23979858481368663
1.4,43,0,right,0.9239502549171448,-2.989190535374919,0.2567286307124225,0.2538268785331466
1.4333333333333331,44,0,right,0.8896580934524536,-2.9305260514302622,0.26918035669324425,0.364320342449252
1.4666666666666666,45,0,right,0.9002676606178284,-2.9778113505139983,0.274771228531493,0.30745052025833386
1.5,46,0,right,0.9110876321792604,-2.860495468375626,0.22096914899754824,0.5475739023683741
1.5,46,1,right,0.9078348278999328,-2.9644797853098876,0.26711563306083597,0.3401623241025984
1.5333333333333334,47,0,right,0.8930749893188477,-2.9739273003989224,0.2771949783141266,0.35302461651419914
1.5666666666666669,48,0,right,0.8927425146102905,-2.9852098089628853,0.2598505337571604,0.32565165358455445
1.6,49,0,right,0.8708809018135071,-2.981635787829157,0.2804706539008198,0.3027238826021543
1.6333333333333333,50,0,right,0.8829692602157593,-2.9615810629954655,0.28689892291432845,0.30558772944479073
