frame_index,lm_idx0,lm_idx1,lm_name0,lm_name1,world_distance,pt0_x,pt0_y,pt1_x,pt1_y,w0_x,w0_y,w0_z,w1_x,w1_y,w1_z
25,4,14,thumb_tip,ring_finger_pip,0.003640178931602469,1347,666,501,822,-0.0146224573254585,0.0218578819185495,0.0029191474895924,-0.0134974373504519,0.0245552435517311,0.0007490154821425
26,9,13,middle_finger_mcp,ring_finger_mcp,0.0037339875364683617,1359,618,507,788,-0.0038118767552077,-0.0019016119185835,-0.0018949712393805,-0.0056953048333525,0.001270999899134,-0.0024693368468433
27,9,13,middle_finger_mcp,ring_finger_mcp,0.006582826833211844,1345,604,517,784,-0.0034009246155619,-0.0019840479362756,-0.0016960784560069,-0.0081321289762854,0.0025887810625135,-0.0014997385442256
28,4,18,thumb_tip,pinky_pip,0.005087133668812712,1297,619,518,808,-0.0195320639759302,0.0234229676425457,0.0070473388768732,-0.0193604063242673,0.0203457977622747,0.0110946204513311
29,4,18,thumb_tip,pinky_pip,0.0031023192196994623,1276,595,535,796,-0.0235152579843997,0.0181497149169445,0.0079712281003594,-0.0217627398669719,0.0200132820755243,0.0097262728959321
30,9,9,middle_finger_mcp,middle_finger_mcp,0.008180371289933751,1295,553,581,745,-0.0036694309674203,-0.0024700562935322,-0.0014677118742838,0.0044534387998282,-0.001517919707112,-0.0016434876015409
31,17,10,pinky_mcp,middle_finger_pip,0.007197929673402005,1302,571,622,758,0.0269077066332101,0.0290376022458076,-0.0019907383248209,0.0218423381447792,0.0272233113646507,-0.0067720124498009
32,4,17,thumb_tip,pinky_mcp,0.006912684580810551,1221,541,589,728,-0.0242788381874561,0.0204517319798469,0.004439705517143,-0.0275771375745534,0.0144778760150074,0.0055440035648643
33,4,17,thumb_tip,pinky_mcp,0.003865555500588723,1200,517,610,707,-0.0274914745241403,0.0170036312192678,0.0044959834776818,-0.0237829722464084,0.0160892121493816,0.0039015358779579
34,4,17,thumb_tip,pinky_mcp,0.008042274381573124,1180,495,630,682,-0.0313297621905803,0.016176888719201,0.0062148221768438,-0.027007944881916,0.0213557556271553,0.0018353918567299
35,9,9,middle_finger_mcp,middle_finger_mcp,0.007646609189444254,1203,454,667,631,-0.0044345930218696,-0.0037932028062641,-0.0005129329510964,0.0031329845078289,-0.0048707863315939,-0.0007159506203606
36,18,18,pinky_pip,pinky_pip,0.005360500375877711,1168,494,692,643,-0.0031970813870429,0.0459979437291622,-0.0048514329828321,-0.0014041883405297,0.041053008288145,-0.005884928163141
37,9,9,middle_finger_mcp,middle_finger_mcp,0.006498946569413167,1170,416,693,576,-0.004560855217278,-0.0038769419770687,9.56499843596248e-06,0.0014462248655036,-0.0063404222019016,-0.0002777685585897
38,9,9,middle_finger_mcp,middle_finger_mcp,0.006141503386722322,1156,399,703,550,-0.0041001848876476,-0.0043851067312061,-0.0002217581350123,0.0009262001840397,-0.0079062804579734,1.2448069355741607e-05
39,9,9,middle_finger_mcp,middle_finger_mcp,0.004355073563384637,1143,382,712,528,-0.0033836753573268,-0.004173838533461,-0.0002077895915135,-0.0003013163805007,-0.0072317048907279,-0.0005471746553666
40,9,9,middle_finger_mcp,middle_finger_mcp,0.0046493567953957635,1130,367,721,510,-0.0034695544745773,-0.0047909123823046,0.0003459542058408,0.0002294890582561,-0.0075670275837183,-0.0001302599703194
41,9,9,middle_finger_mcp,middle_finger_mcp,0.004003292438565869,1120,353,728,495,-0.0031060180626809,-0.0046764640137553,0.0004511781735345,6.075715646147728e-06,-0.0071725104935467,0.0001180496183224
42,9,9,middle_finger_mcp,middle_finger_mcp,0.0038240560281212425,1108,341,735,481,-0.0029710689559578,-0.0047349128872156,0.0005047105369158,-0.0011548600159585,-0.0080177132040262,0.0012449886417016
43,9,9,middle_finger_mcp,middle_finger_mcp,0.00265697142774239,1100,328,742,472,-0.0031228403095155,-0.0048587205819785,0.000550941505935,-0.0020015607587993,-0.0070733996108174,0.0014982672873884
44,9,9,middle_finger_mcp,middle_finger_mcp,0.002400438477396311,1091,318,751,464,-0.0025857663713395,-0.0044538765214383,0.0003370837075635,-0.0017773727886378,-0.0066793011501431,0.0007321658777073
45,9,9,middle_finger_mcp,middle_finger_mcp,0.0026750735471424824,1082,308,758,458,-0.0025612590834498,-0.0047004204243421,-0.0001012327629723,-0.0025829272344708,-0.0070930141955614,0.0010950297582894
46,9,9,middle_finger_mcp,middle_finger_mcp,0.0021530099015594256,1077,299,767,451,-0.0024447594769299,-0.0045272018760442,0.0001798699231585,-0.0030625001527369,-0.0064752381294965,0.0008573674131184
47,9,9,middle_finger_mcp,middle_finger_mcp,0.0018866984051886019,1070,293,774,449,-0.0026810003910213,-0.0051289307884871,0.0006997184245847,-0.0028165976982563,-0.0067831119522452,-0.0001974598853848
