frame_idx,tag_id,coord_frame,v0_x,v0_y,v0_z,v1_x,v1_y,v1_z,v2_x,v2_y,v2_z,v3_x,v3_y,v3_z,v4_x,v4_y,v4_z,v5_x,v5_y,v5_z,v6_x,v6_y,v6_z,v7_x,v7_y,v7_z
0,0,camera,0.9573560953140259,0.4666258990764618,0.9459612369537354,0.753291666507721,0.43476706743240356,1.0743706226348877,0.7717230319976807,0.09410673379898071,1.0191420316696167,0.9757874608039856,0.12596558034420013,0.8907326459884644,1.0017064809799194,0.45794808864593506,1.0142885446548462,0.7976420521736145,0.42608922719955444,1.1426979303359985,0.8160734176635742,0.08542892336845398,1.0874693393707275,1.0201377868652344,0.1172877699136734,0.95906001329422
1,0,camera,0.9570228457450867,0.4673498272895813,0.948088526725769,0.7516798973083496,0.4342014193534851,1.0741111040115356,0.7724157571792603,0.09376034140586853,1.01835036277771,0.9777587056159973,0.12690876424312592,0.8923277258872986,1.0006403923034668,0.4587368667125702,1.0168941020965576,0.7952974438667297,0.4255884289741516,1.1429166793823242,0.8160333037376404,0.08514738082885742,1.0871559381484985,1.0213762521743774,0.11829580366611481,0.9611333012580872
2,0,camera,0.9570913314819336,0.46807926893234253,0.9501020312309265,0.7513827085494995,0.4338657855987549,1.0752404928207397,0.7734054923057556,0.0936785489320755,1.0184338092803955,0.9791141748428345,0.12789204716682434,0.8932952880859375,1.0004773139953613,0.45937585830688477,1.0190424919128418,0.7947686910629272,0.42516234517097473,1.1441810131072998,0.8167915344238281,0.08497510850429535,1.087374210357666,1.0225001573562622,0.11918860673904419,0.9622358083724976
3,0,camera,0.9561511874198914,0.46847090125083923,0.9512248039245605,0.7493628263473511,0.43308719992637634,1.0742402076721191,0.773346483707428,0.09314298629760742,1.016776442527771,0.980134904384613,0.1285266876220703,0.8937610387802124,0.9988916516304016,0.4597647786140442,1.0205670595169067,0.7921032309532166,0.4243810772895813,1.1435824632644653,0.8160869479179382,0.08443686366081238,1.0861186981201172,1.0228753089904785,0.11982056498527527,0.9631032347679138
4,0,camera,0.957448422908783,0.469552218914032,0.9531939029693604,0.7513817548751831,0.4334523677825928,1.0772082805633545,0.7762857675552368,0.09358905255794525,1.0196574926376343,0.9823524355888367,0.12968888878822327,0.8956431150436401,1.0005532503128052,0.4610036015510559,1.0223299264907837,0.7944865822792053,0.4249037802219391,1.1463443040847778,0.819390594959259,0.08504046499729156,1.0887935161590576,1.0254572629928589,0.12114030122756958,0.9647790789604187
5,0,camera,0.9573577046394348,0.4700441360473633,0.9536815881729126,0.7511963844299316,0.4333537220954895,1.0773649215698242,0.7769368290901184,0.09360857307910919,1.019485592842102,0.9830981492996216,0.13029895722866058,0.8958023190498352,1.0003834962844849,0.4615170359611511,1.0228694677352905,0.7942221164703369,0.42482662200927734,1.1465526819229126,0.8199625611305237,0.08508147299289703,1.08867347240448,1.0261238813400269,0.12177185714244843,0.9649901986122131
6,0,camera,0.957913339138031,0.4703753590583801,0.954055905342102,0.7513101696968079,0.4335198998451233,1.0769503116607666,0.7776337265968323,0.0937776118516922,1.0193169116973877,0.9842368960380554,0.13063305616378784,0.8964225053787231,1.0006780624389648,0.46192288398742676,1.0234146118164062,0.7940748333930969,0.4250674247741699,1.1463090181350708,0.8203983902931213,0.08532513678073883,1.088675618171692,1.0270015001296997,0.12218058109283447,0.9657811522483826
7,0,camera,0.9591924548149109,0.4705469608306885,0.9545877575874329,0.752041220664978,0.4338762164115906,1.0766117572784424,0.7782795429229736,0.09411527216434479,1.0190494060516357,0.9854307770729065,0.13078604638576508,0.8970253467559814,1.0016582012176514,0.4620456099510193,1.0241239070892334,0.7945069670677185,0.4253748059272766,1.1461479663848877,0.8207452893257141,0.08561389148235321,1.0885854959487915,1.027896523475647,0.1222846657037735,0.966561496257782
8,0,camera,0.9602239727973938,0.47105324268341064,0.9542310833930969,0.7532703876495361,0.4344090521335602,1.076598048210144,0.7805521488189697,0.09441576898097992,1.0209234952926636,0.9875057339668274,0.1310599446296692,0.8985565900802612,1.0027620792388916,0.46307694911956787,1.0237852334976196,0.7958084940910339,0.4264327883720398,1.146152138710022,0.8230902552604675,0.08643950521945953,1.090477705001831,1.0300438404083252,0.1230836808681488,0.9681106805801392
9,0,camera,0.9620171189308167,0.4705873727798462,0.9542438387870789,0.7547845840454102,0.43500828742980957,1.0764528512954712,0.779992401599884,0.09495072066783905,1.0201961994171143,0.9872249364852905,0.13052983582019806,0.8979872465133667,1.0044729709625244,0.4622271656990051,1.0238032341003418,0.7972403764724731,0.4266480803489685,1.1460121870040894,0.822448194026947,0.08659051358699799,1.0897555351257324,1.0296807289123535,0.122169628739357,0.9675465822219849
10,0,camera,0.9631133675575256,0.4704608917236328,0.9544160962104797,0.7556434273719788,0.4351682960987091,1.0763049125671387,0.7801215052604675,0.09514577686786652,1.0195170640945435,0.9875915050506592,0.13043838739395142,0.8976281881332397,1.0054614543914795,0.4618856906890869,1.0240148305892944,0.7979915142059326,0.4265930652618408,1.1459037065505981,0.8224696516990662,0.08657054603099823,1.089115858078003,1.0299395322799683,0.12186315655708313,0.9672269821166992
11,0,camera,0.965008020401001,0.4707357585430145,0.9550818204879761,0.7584273219108582,0.4356982111930847,1.0785443782806396,0.7816072106361389,0.09573701024055481,1.020851731300354,0.9881879091262817,0.1307745724916458,0.8973890542984009,1.0078871250152588,0.46190890669822693,1.0243231058120728,0.8013063669204712,0.4268713593482971,1.1477857828140259,0.824486255645752,0.08691015839576721,1.0900930166244507,1.0310670137405396,0.12194772064685822,0.9666303992271423
12,0,camera,0.9650372862815857,0.4708046317100525,0.9547079205513,0.7581351399421692,0.43551474809646606,1.0775588750839233,0.781977653503418,0.09556637704372406,1.0200610160827637,0.9888797998428345,0.13085626065731049,0.8972101211547852,1.00771963596344,0.4620645046234131,1.0240817070007324,0.8008174896240234,0.42677462100982666,1.146932601928711,0.8246600031852722,0.08682627975940704,1.0894347429275513,1.0315622091293335,0.12211616337299347,0.9665838479995728
13,0,camera,0.965550422668457,0.4714081585407257,0.953921377658844,0.7597284913063049,0.43586820363998413,1.0785026550292969,0.7841933369636536,0.0958118736743927,1.02191162109375,0.9900152683258057,0.13135184347629547,0.8973302841186523,1.008801817893982,0.4630262553691864,1.0229861736297607,0.8029798269271851,0.4274863004684448,1.1475675106048584,0.8274446725845337,0.0874299705028534,1.090976357460022,1.033266544342041,0.12296994030475616,0.9663951396942139
14,0,camera,0.9668563604354858,0.4715915620326996,0.9545482993125916,0.7609080076217651,0.43598538637161255,1.0789014101028442,0.7848867177963257,0.09606671333312988,1.0212846994400024,0.9908351302146912,0.1316729038953781,0.896931529045105,1.0100547075271606,0.4629324674606323,1.023612141609192,0.8041062951087952,0.4273262619972229,1.1479653120040894,0.8280850648880005,0.08740761876106262,1.0903486013412476,1.0340334177017212,0.12301380932331085,0.9659953713417053
15,0,camera,0.9670019149780273,0.47112324833869934,0.953650712966919,0.7601320743560791,0.43579715490341187,1.0765457153320312,0.783871591091156,0.0958838164806366,1.0187987089157104,0.9907413721084595,0.13120990991592407,0.8959036469459534,1.0097053050994873,0.462323397397995,1.0230039358139038,0.8028354644775391,0.4269973039627075,1.1458990573883057,0.8265749216079712,0.08708396553993225,1.0881519317626953,1.0334447622299194,0.12241005897521973,0.9652568697929382
16,0,camera,0.9670181274414062,0.4717032313346863,0.9524507522583008,0.7605999112129211,0.4359133243560791,1.0759694576263428,0.7867730259895325,0.09569728374481201,1.0211299657821655,0.9931911826133728,0.131487175822258,0.8976112604141235,1.0098891258239746,0.4638211727142334,1.0218108892440796,0.803471028804779,0.4280312657356262,1.1453295946121216,0.8296440839767456,0.08781522512435913,1.0904901027679443,1.036062240600586,0.12360511720180511,0.9669714570045471
17,0,camera,0.9672876596450806,0.4712013006210327,0.9518009424209595,0.7608210444450378,0.43579620122909546,1.0753496885299683,0.7867492437362671,0.0954589694738388,1.0211493968963623,0.9932158589363098,0.13086409866809845,0.8976007103919983,1.0101406574249268,0.46341657638549805,1.0211832523345947,0.803674042224884,0.4280114769935608,1.1447319984436035,0.8296022415161133,0.08767424523830414,1.0905317068099976,1.0360687971115112,0.12307937443256378,0.9669830203056335
