frame_idx,tag_id,coord_frame,v0_x,v0_y,v0_z,v1_x,v1_y,v1_z,v2_x,v2_y,v2_z,v3_x,v3_y,v3_z,v4_x,v4_y,v4_z,v5_x,v5_y,v5_z,v6_x,v6_y,v6_z,v7_x,v7_y,v7_z
0,1,camera,0.7550067901611328,0.6672965288162231,1.513912558555603,0.5380552411079407,0.5663039684295654,1.5572576522827148,0.67835932970047,0.2519177794456482,1.527001142501831,0.8953108787536621,0.3529103100299835,1.4836561679840088,0.771266758441925,0.666826069355011,1.5942013263702393,0.5543152093887329,0.565833568572998,1.6375463008880615,0.6946192979812622,0.25144731998443604,1.6072899103164673,0.9115708470344543,0.35243985056877136,1.5639448165893555
1,1,camera,0.7545557022094727,0.6675888299942017,1.514039397239685,0.5377479791641235,0.5662248730659485,1.557236671447754,0.6786391735076904,0.25207868218421936,1.5272166728973389,0.8954468965530396,0.35344260931015015,1.4840195178985596,0.7707479000091553,0.6671770811080933,1.5943422317504883,0.5539401769638062,0.5658131241798401,1.6375393867492676,0.694831371307373,0.25166693329811096,1.607519507408142,0.9116390943527222,0.35303086042404175,1.5643222332000732
2,1,camera,0.7545406818389893,0.6679258346557617,1.5143593549728394,0.5378624796867371,0.5665197968482971,1.5581039190292358,0.6788267493247986,0.2523990273475647,1.528160572052002,0.8955049514770508,0.3538051247596741,1.4844160079956055,0.7708930373191833,0.6676123738288879,1.5946300029754639,0.5542148351669312,0.5662062764167786,1.6383745670318604,0.6951791048049927,0.2520855665206909,1.6084312200546265,0.9118573069572449,0.3534916043281555,1.56468665599823
3,1,camera,0.7544879913330078,0.6679924726486206,1.51460599899292,0.5376100540161133,0.5667128562927246,1.5576481819152832,0.6784306764602661,0.2525111734867096,1.527878761291504,0.8953086137771606,0.353790819644928,1.4848365783691406,0.7706078290939331,0.6676074266433716,1.594923496246338,0.5537298917770386,0.5663277506828308,1.6379656791687012,0.6945505142211914,0.2521260678768158,1.6081962585449219,0.9114284515380859,0.35340574383735657,1.5651540756225586
4,1,camera,0.7541600465774536,0.6680572628974915,1.5142059326171875,0.53739994764328,0.5666869878768921,1.5576268434524536,0.678360104560852,0.2525429129600525,1.5279096364974976,0.8951202034950256,0.35391321778297424,1.484488844871521,0.7703908681869507,0.667744517326355,1.5945013761520386,0.5536307692527771,0.5663741827011108,1.6379221677780151,0.6945909261703491,0.252230167388916,1.6082050800323486,0.9113510251045227,0.35360047221183777,1.5647841691970825
5,1,camera,0.7544910311698914,0.6680209636688232,1.5145148038864136,0.5373819470405579,0.5672942996025085,1.5576890707015991,0.6774226427078247,0.2527337968349457,1.5280299186706543,0.8945317268371582,0.353460431098938,1.4848556518554688,0.7706395387649536,0.667637825012207,1.5948264598846436,0.5535304546356201,0.5669111609458923,1.638000726699829,0.693571150302887,0.25235065817832947,1.6083415746688843,0.9106802344322205,0.3530772924423218,1.5651673078536987
6,1,camera,0.7549042701721191,0.6689258813858032,1.516241431236267,0.5379827618598938,0.5680705308914185,1.5600533485412598,0.6783232688903809,0.2535898685455322,1.5309706926345825,0.895244836807251,0.3544451594352722,1.4871587753295898,0.7711919546127319,0.6687698364257812,1.59652578830719,0.5542703866958618,0.5679145455360413,1.6403377056121826,0.6946109533309937,0.25343382358551025,1.6112550497055054,0.911532461643219,0.354289174079895,1.5674431324005127
7,1,camera,0.7543635964393616,0.6689070463180542,1.5165481567382812,0.5369358658790588,0.568336546421051,1.5584650039672852,0.6766415238380432,0.2536851465702057,1.5281965732574463,0.894069254398346,0.3542556166648865,1.486279845237732,0.7701855301856995,0.6682002544403076,1.5969226360321045,0.5527577996253967,0.5676297545433044,1.6388393640518188,0.6924634575843811,0.2529783546924591,1.6085710525512695,0.9098911881446838,0.3535488247871399,1.5666542053222656
8,1,camera,0.75413978099823,0.6693302392959595,1.5171281099319458,0.5363397598266602,0.5691368579864502,1.5580016374588013,0.6758084297180176,0.2542368769645691,1.5292638540267944,0.8936085104942322,0.35443031787872314,1.488390326499939,0.7694910764694214,0.6687859296798706,1.5975950956344604,0.5516909956932068,0.5685924887657166,1.638468623161316,0.691159725189209,0.25369253754615784,1.609730839729309,0.9089597463607788,0.3538859486579895,1.5688573122024536
9,1,camera,0.7527496814727783,0.6687926650047302,1.5154752731323242,0.5343946814537048,0.5693908929824829,1.5553077459335327,0.6731227040290833,0.25397855043411255,1.5286812782287598,0.8914777040481567,0.35338032245635986,1.4888488054275513,0.7675746083259583,0.6685118079185486,1.5960421562194824,0.5492196083068848,0.5691100358963013,1.635874629020691,0.6879476308822632,0.2536976933479309,1.609248161315918,0.9063026309013367,0.3530994951725006,1.5694156885147095
