frame_index,lm_idx0,lm_idx1,lm_name0,lm_name1,world_distance,pt0_x,pt0_y,pt1_x,pt1_y,w0_x,w0_y,w0_z,w1_x,w1_y,w1_z
2,13,9,ring_finger_mcp,middle_finger_mcp,0.004601158008679916,1478,725,448,800,0.0043292213231325,0.0029612383805215,-0.0046506952494382,0.0052248798310756,1.489301212131977e-05,-0.0012319966917857
3,17,5,pinky_mcp,index_finger_mcp,0.003929285298956796,1502,722,468,798,0.0227158423513174,0.0012401053681969,-0.0009106319048441,0.025826446712017,-0.0010161157697439,-9.033339301822708e-05
4,17,5,pinky_mcp,index_finger_mcp,0.004671603322883344,1503,723,468,799,0.023297231644392,0.0012221029028296,0.000174452579813,0.0275959223508834,-0.000499228015542,-0.0004437348397914
5,13,9,ring_finger_mcp,middle_finger_mcp,0.004220974692621723,1478,724,448,800,0.0043616825714707,0.0025187763385474,-0.0051254499703645,0.0050407196395099,-1.4805118553340437e-05,-0.0018184118671342
6,13,9,ring_finger_mcp,middle_finger_mcp,0.0042777817262112635,1478,724,448,799,0.0054526459425687,0.0025985876563936,-0.0053348210640251,0.0051018600352108,-0.0001280414871871,-0.0020573434885591
7,13,9,ring_finger_mcp,middle_finger_mcp,0.00479827494704974,1478,725,448,801,0.0036897384561598,0.0021072176750749,-0.0054935016669332,0.0051058852113783,0.0002367298584431,-0.0013079018099233
8,13,9,ring_finger_mcp,middle_finger_mcp,0.004701917042457585,1478,725,448,801,0.0044331923127174,0.0025952388532459,-0.0053609577007591,0.0047930311411619,3.494916018098593e-05,-0.0014336868189275
9,17,5,pinky_mcp,index_finger_mcp,0.0025147364854897023,1503,722,469,799,0.0235752966254949,0.0016190744936466,0.0007563082617707,0.0247250981628894,-0.0006072698161005,0.0009690217557363
10,13,9,ring_finger_mcp,middle_finger_mcp,0.004892889595432725,1478,724,448,800,0.0046669989824295,0.0022849454544484,-0.0053164851851761,0.0047680246643722,-0.0009105915669351,-0.0016126080881804
11,13,9,ring_finger_mcp,middle_finger_mcp,0.004093614597672043,1479,725,447,797,0.0051702191121876,0.0022833810653537,-0.0052914954721927,0.0052458136342465,-0.0003769362810999,-0.0021810811012983
12,17,5,pinky_mcp,index_finger_mcp,0.003502216412012085,1504,723,468,798,0.023684523999691,0.0011580698192119,0.0011839295038953,0.0253574103116989,-0.0016084481030702,-0.0001626772573217
13,17,5,pinky_mcp,index_finger_mcp,0.0028213269035623602,1504,723,469,798,0.0246168728917837,0.0014106361195445,-0.0001098773354897,0.0240161921828985,-0.0012898789718747,0.0004435541632119
14,17,5,pinky_mcp,index_finger_mcp,0.0047102319380502395,1504,723,468,800,0.0202276054769754,0.0005423836410045,0.0004228717589285,0.0243883002549409,-3.331433981657028e-05,0.0025544147938489
15,13,9,ring_finger_mcp,middle_finger_mcp,0.004131942136722775,1480,724,447,800,0.0048542995937168,0.0023039716761559,-0.0054210908710956,0.0049429750069975,-0.0001410507829859,-0.0020913840271532
16,13,9,ring_finger_mcp,middle_finger_mcp,0.004772440965245676,1480,724,448,801,0.0040541114285588,0.0020991628989577,-0.0056873583234846,0.005420843604952,-0.000431939959526,-0.0018792414339259
17,17,5,pinky_mcp,index_finger_mcp,0.004135592197156427,1505,722,468,799,0.0225655883550643,0.0009483499452471,-0.0009135996806435,0.025803854689002,-0.0013205599971115,0.0002983415906783
18,13,9,ring_finger_mcp,middle_finger_mcp,0.004988251440505322,1480,725,448,801,0.0050713191740214,0.0024322399403899,-0.0056668068282306,0.0052394634112715,-1.9826693460345268e-05,-0.0013260984560474
19,17,5,pinky_mcp,index_finger_mcp,0.004781844122377433,1505,723,468,799,0.0214056987315416,0.0008071009069681,0.0004039710911456,0.0258220247924327,-0.0010263118892908,0.0003776110243052
20,13,9,ring_finger_mcp,middle_finger_mcp,0.004924474057776448,1479,725,449,800,0.0041133137419819,0.0020303148776292,-0.005537795368582,0.0049573159776628,-0.0005298624164424,-0.0014166793553158
21,13,9,ring_finger_mcp,middle_finger_mcp,0.00509944228000922,1478,724,449,798,0.0041828397661447,0.0023422187659889,-0.0060822330415248,0.0048276358284056,-0.0004694589879363,-0.0018771149916574
22,13,9,ring_finger_mcp,middle_finger_mcp,0.004808653857643943,1478,725,450,799,0.0040200874209403,0.001961360219866,-0.0055303224362432,0.0050308797508478,-0.0005375170148909,-0.0015482296003028
23,17,5,pinky_mcp,index_finger_mcp,0.002639343392995126,1503,722,470,795,0.0245602503418922,0.0013655284419655,-0.0005731193814426,0.023962166160345,-0.000792836304754,0.0008232654072344
24,17,5,pinky_mcp,index_finger_mcp,0.0035906493539763986,1502,722,473,791,0.0231020748615264,0.0013969615101814,0.0007132942555472,0.023811412975192,-0.0018704715184867,0.0020222952589392
25,13,9,ring_finger_mcp,middle_finger_mcp,0.004471994282042251,1477,725,456,793,0.0057088555768132,0.0023741088807582,-0.0052690198644995,0.0051041450351476,-0.0004766095662489,-0.0018769021844491
26,13,9,ring_finger_mcp,middle_finger_mcp,0.00529965589795647,1478,725,461,788,0.0068721114657819,0.002895831130445,-0.0059227710589766,0.0060071749612689,-0.0006356961093842,-0.0020670541562139
27,17,5,pinky_mcp,index_finger_mcp,0.005097678354682782,1503,723,485,779,0.0261839143931865,0.0013877758756279,0.0001063416711986,0.0249653756618499,-0.0026165624149143,0.0030161119066178
28,13,9,ring_finger_mcp,middle_finger_mcp,0.005423345862979597,1479,725,473,776,0.0061308532021939,0.0028163862880319,-0.0057374099269509,0.0054585598409175,-0.0014819636708125,-0.0024993719998747
