time_sec,frame_index,hand_label_0,hand_label_1,hand_score_0,hand_score_1,rot_vec_x_0,rot_vec_y_0,rot_vec_z_0,rot_vec_x_1,rot_vec_y_1,rot_vec_z_1
0.0,1,left,,0.9906708002090454,,1.8871637169696476,1.5867516726978999,-0.6286691128839469,,,
0.0333333333333333,2,right,left,0.987472653388977,0.9912189245224,-0.2479455558963383,1.0833059862726773,1.6792163586263065,1.9109277664591533,1.642606949255774,-0.5418583637876782
0.0666666666666666,3,right,left,0.9962469339370728,0.9870596528053284,-0.15045073448989418,1.0647204540930495,1.6880428853754212,1.9681219747942884,1.6519377990298356,-0.547683151273629
0.1,4,right,left,0.9945940971374512,0.9860754013061525,-0.15719931285614958,1.0396150494038772,1.6847715793569096,1.9246186939708352,1.6665067026438352,-0.5471735751855845
0.1333333333333333,5,right,left,0.9942821860313416,0.9911205172538756,-0.18955900662105718,1.1092495566729987,1.661395803472613,1.8868471103879292,1.6236927708350277,-0.5893837225587272
0.1666666666666666,6,right,left,0.9945202469825744,0.9867178201675416,-0.2346463853022729,1.0820635196924435,1.6683392163739426,1.8421866887749627,1.6179969698149503,-0.6120358326409044
0.2,7,right,left,0.9954827427864076,0.990517258644104,-0.09688679058301652,1.237619849904163,1.5564465198164277,1.9180926561303775,1.6274521096645056,-0.573713289025904
0.2333333333333333,8,right,left,0.9948076605796814,0.98651385307312,-0.1867442075614069,1.1134324279946457,1.666251287232559,1.9037403149826424,1.6356281638253998,-0.5874807717975108
0.2666666666666666,9,right,left,0.9940840601921082,0.9905998706817628,-0.23597059267799428,1.048264512175268,1.6812536555634996,1.886253567550657,1.6061366492203388,-0.5833469698385795
0.3,10,right,left,0.9941871166229248,0.9932910203933716,-0.19242114384055906,1.1124022725444458,1.6407646504966003,1.902289646018834,1.6238364661479339,-0.6028973529170024
0.3333333333333333,11,right,left,0.9960390329360962,0.9913825988769532,-0.12340605413069937,1.1383502134215286,1.6218504891632994,1.8620825740607645,1.609560790743413,-0.6527146515808694
0.3666666666666666,12,right,left,0.9947669506072998,0.9913146495819092,-0.1715586696898487,1.0083206923945558,1.7275439164199373,1.8736218592714986,1.6164080517763084,-0.6143490780894494
0.4,13,right,left,0.9945458173751832,0.989534854888916,-0.16434206980306024,0.9783411873380795,1.723332507471237,1.8497620596428281,1.5623500440175373,-0.635071467356238
0.4333333333333333,14,right,left,0.994842767715454,0.9856165647506714,-0.15660424886051505,1.1296910874251014,1.6267457852541378,1.8560050155765424,1.6009268529966385,-0.46880284690109086
0.4666666666666667,15,right,left,0.9957034587860109,0.9946847558021544,-0.13524308022905726,1.13507867776056,1.6443433312286273,1.847630829124344,1.6132169664162386,-0.6158992256923068
0.5,16,right,left,0.9956587553024292,0.9853159785270692,-0.09211003875755287,1.2210008652990216,1.561020106326822,1.8554709423652604,1.6295273682769218,-0.5445615469036781
0.5333333333333333,17,right,left,0.9934971332550048,0.9955111742019652,-0.1317144261268048,1.0819370040349627,1.6714016576775055,1.8663363846934828,1.5988523873618865,-0.6388793808262544
0.5666666666666667,18,right,left,0.9959179162979126,0.992082417011261,-0.1500685702719716,1.114583974296614,1.6485454681589709,1.876696112658288,1.6150567423471747,-0.5636536032149078
0.6,19,right,left,0.9946948885917664,0.9944204092025756,-0.1956313919810195,1.0979977453124647,1.6400411153808316,1.8522909613956346,1.6085974725295127,-0.6061825759760253
0.6333333333333333,20,right,left,0.995602011680603,0.9931908249855042,-0.11046689595173512,1.2119720844826383,1.5673062741314006,1.8477177262667372,1.5820465907246575,-0.5632320179992937
0.6666666666666666,21,right,left,0.9959470629692078,0.9891594052314758,-0.05895522935350066,1.1891883409596096,1.598516801102645,1.8853415046986872,1.565001863589498,-0.5978061702008628
0.7,22,right,left,0.9955056309700012,0.9923803806304932,-0.09034994189034175,1.1981838095638813,1.5931602597272996,1.815887505382332,1.5648742948928132,-0.6069716265982125
0.7333333333333333,23,right,left,0.9945052266120912,0.9925455451011658,-0.19466883837746266,0.9727381260519539,1.7383715826469242,1.8052297029844118,1.537511701614541,-0.5947099919388671
0.7666666666666667,24,right,left,0.9936568737030028,0.9909074902534484,-0.20217032099706833,1.0547057352867766,1.68567406178057,1.8035476694319907,1.5159249363466514,-0.5923725218987038
0.8,25,right,left,0.9936485886573792,0.9940284490585328,-0.2007553327971879,1.0677141578412308,1.6764681190925523,1.820958185013264,1.4851859097049867,-0.5893557167937145
0.8333333333333334,26,right,left,0.9961130619049072,0.9903966784477234,-0.17073687786305994,1.0281711546506653,1.7065965682582585,1.8605086983133015,1.4899043501911078,-0.4852610379133156
0.8666666666666667,27,right,left,0.9926886558532716,0.9919434785842896,-0.23045259011171126,0.9907073342761599,1.727698165743577,1.8176406093612678,1.431616909678486,-0.5489201631277388
0.9,28,right,left,0.9949678182601928,0.9893893599510192,-0.1878803727288582,1.0194036478300361,1.7091308491740935,1.8410088669553717,1.3818141244342352,-0.5605214071214166
0.9333333333333332,29,right,left,0.995762586593628,0.9899517297744752,-0.19870250928342795,1.0413980445211342,1.700636181679439,1.8297766912029059,1.3315000063955804,-0.5578476239621866
0.9666666666666668,30,right,left,0.9936846494674684,0.9905233383178712,-0.17916181893436328,1.0835169068995913,1.6531106836040146,1.8418474128366455,1.2798398322476157,-0.5505099707264444
1.0,31,right,left,0.9943074584007264,0.9868047833442688,-0.27047023878753096,1.0026792019521726,1.7114080156953257,1.9020264733731773,1.2317824931746915,-0.6115250706198007
