time_sec,frame_index,hand_label_0,hand_label_1,hand_score_0,hand_score_1,quat_w_0,quat_x_0,quat_y_0,quat_z_0,quat_w_1,quat_x_1,quat_y_1,quat_z_1
0.0,1,left,,0.9942165613174438,,0.11323905117655882,0.7665553044807983,0.6301980702812647,0.04919628720496337,,,,
0.0333333333333333,2,left,,0.9965462684631348,,0.1074221174075706,0.7710016138844504,0.6260307056169029,0.04585363348797496,,,,
0.0666666666666666,3,left,,0.9955362677574158,,0.1131464198350946,0.7707321549804985,0.6246938927140729,0.05410520643483127,,,,
0.1,4,left,,0.9950072765350342,,0.11405569550720944,0.7683950353881756,0.6282325922479132,0.043407118663169146,,,,
0.1333333333333333,5,left,,0.9962897300720216,,0.11244185878251169,0.7706071513079812,0.6244610061301674,0.05974862818032656,,,,
0.1666666666666666,6,left,,0.9948353171348572,,0.10515712314380676,0.7691511712117862,0.6281830567156852,0.05229247107370363,,,,
0.2,7,left,,0.9962770342826844,,0.10739767162810893,0.771933308786134,0.6251497427232565,0.04210114117691015,,,,
0.2333333333333333,8,left,,0.9970459938049316,,0.1095881840958339,0.7726636489762333,0.6224804010530895,0.05915628252429645,,,,
0.2666666666666666,9,left,,0.9961917996406556,,0.10346181292354613,0.7712553772279114,0.6265730539080312,0.04320884724184089,,,,
0.3,10,left,,0.9960401654243468,,0.1160112316682692,0.7669828096707794,0.6286422689774062,0.0555667297154219,,,,
0.3333333333333333,11,left,,0.9965382814407348,,0.1327797004022908,0.7684564211589366,0.6230031225416626,0.060921172378861084,,,,
0.3666666666666666,12,left,,0.9973058700561525,,0.11435382120245675,0.7695742454442314,0.6251053616862549,0.06262564264289033,,,,
0.4,13,left,,0.9963919520378112,,0.11645898240479444,0.7685513010211397,0.6266262118298233,0.05572964887525026,,,,
0.4333333333333333,14,left,,0.9954106211662292,,0.11637385803585253,0.7691728760520063,0.6268189169641735,0.04391192602923082,,,,
0.4666666666666667,15,left,,0.9964056611061096,,0.11109976735070233,0.7709000025245758,0.6233300289684791,0.06949606311427928,,,,
0.5,16,left,,0.9963486790657043,,0.10642528065944266,0.7691831779850486,0.6283815905960212,0.046556148266306774,,,,
0.5333333333333333,17,left,,0.9960052967071532,,0.10533649584710289,0.7708307827089066,0.6217118066029843,0.0905458811955637,,,,
0.5666666666666667,18,left,,0.9961475133895874,,0.1088810090656257,0.7717039283495875,0.6243657436875636,0.052776803087544566,,,,
0.6,19,left,,0.996019184589386,,0.11206435339123033,0.7684854528069238,0.6260684665178251,0.07007114067261887,,,,
0.6333333333333333,20,left,,0.9955688118934632,,0.10413164935339685,0.7729561082785318,0.6236606402182172,0.05237232208382122,,,,
0.6666666666666666,21,left,,0.996139407157898,,0.11142679049117535,0.7730600419808141,0.6216722959904221,0.0590406491449299,,,,
0.7,22,left,,0.9972251653671264,,0.12076291158784393,0.7698809229781941,0.6243885250529232,0.053279014642780245,,,,
0.7333333333333333,23,left,,0.9957751035690308,,0.1263417392186966,0.7715340344330063,0.619109005186872,0.07400701547316581,,,,
0.7666666666666667,24,left,,0.9954164624214172,,0.10455626684637404,0.7748460733317439,0.621843764511584,0.04463050799161398,,,,
0.8,25,right,left,0.9956599473953248,0.9972687363624572,0.28580155891372755,-0.1395418006988662,0.19805367869379703,0.927157103804989,0.10554769532243208,0.7757088030568875,0.6205367372254456,0.04549389657714988
0.8333333333333334,26,right,left,0.9956410527229308,0.9950897693634032,0.2504918955102218,-0.11326395977794135,0.22505023302624647,0.9347606529555837,0.11224999098958774,0.7842933240114371,0.6092458904573714,0.0332169594444276
0.8666666666666667,27,right,left,0.9951318502426147,0.9946120977401732,0.2169324285900505,-0.127648836556644,0.210817291341362,0.9445645375638708,0.11077471514992776,0.7976173720143469,0.5925293315384037,0.021082732532380365
0.9,28,right,left,0.9956350326538086,0.9944922924041748,0.19145041444287772,-0.1323645540947138,0.22521443602039587,0.9460997946501061,0.11873777618398555,0.8104166142957515,0.5736662379007412,0.005770552235511496
0.9333333333333332,29,right,left,0.9939168095588684,0.9926203489303588,0.10868876873034157,-0.13900152264824742,0.21786227597963262,0.959896534506884,0.09808870465074498,0.8354328837162089,0.5407571058064985,0.0035007635364033194
0.9666666666666668,30,right,left,0.9951976537704468,0.9904289245605468,0.053870244592765563,-0.17834656459445405,0.2421451935058422,0.9521849636005024,0.10420686517625714,0.8591874267880947,0.5007966356932971,0.011858523418406245
1.0,31,right,left,0.9952742457389832,0.9909133315086364,0.011924837287395752,-0.15383619820266317,0.2374116374453638,0.9590766063165816,0.1156258049259603,0.8797553055359355,0.4609364165948755,-0.01410303064138811
1.0333333333333334,32,right,left,0.9946495294570924,0.9795228838920592,-0.04561349674217617,-0.17065813466557653,0.2594644664588232,0.9494595308030014,0.113982622378409,0.911245825556138,0.39525161528932395,-0.02037566718990694
1.0666666666666669,33,right,left,0.9944888353347778,0.9909865856170654,-0.10404110147442619,-0.17808396242405364,0.27342525649371,0.9395212507669453,0.11777930722350718,0.9422983218482339,0.3044107883235656,-0.07440416241164437
1.1,34,right,left,0.993567943572998,0.9847426414489746,-0.14199311741269702,-0.2002796556186958,0.28677963938932355,0.926004024064912,0.1347787826308631,0.9587019551773925,0.24273366684258288,-0.06168960911483577
1.1333333333333333,35,right,left,0.993481457233429,0.9818940162658693,-0.1769410125754987,-0.20856054152582668,0.311522622979181,0.9100263919026647,0.17821710829358295,0.9717045716194481,0.11040772492139707,-0.10880727035919574
